location,total_sqft,bath,bhk,floors,zipcode,price
Seattle,2250,2.5,3,2,98125,595000
Issaquah,2030,1.75,3,1,98027,485000
Seattle,3260,2.5,5,1.5,98155,755000
Seattle,1840,1,3,1,98166,185000
Seattle,1840,1,3,1,98166,340000
Maple Valley,2000,2.75,4,2,98038,236000
Woodinville,2810,2.5,4,2,98072,550000
Seattle,1780,2,3,1,98103,680000
Sammamish,2540,2.5,4,2,98075,630000
Seattle,2340,2,3,1,98118,560000
Seattle,1480,2,3,1,98146,385000
Seattle,1358,2.25,3,3,98133,280000
Kent,1750,2.5,3,1,98042,225000
Mercer Island,1830,1.75,4,2,98040,610000
Seattle,1170,2,3,1,98115,592500
Sammamish,3170,2.75,4,2,98075,750000
Kent,1530,1,4,2,98042,164000
Seattle,1100,1,2,1,98155,320000
Issaquah,2030,2.5,4,2,98029,544000
Renton,1870,1.75,3,1,98058,344950
Maple Valley,3080,2.5,3,2,98038,539500
Issaquah,2480,1.75,4,1,98027,420000
Seattle,910,1,2,1,98155,305000
Seattle,810,1,2,1,98133,229000
Renton,3990,3.5,5,2,98059,1070000
Seattle,1430,2.25,3,3,98103,397500
Kirkland,2190,2,4,2,98033,540000
Bellevue,2290,2.5,4,2,98008,650000
Seattle,3020,4,6,2,98144,1900000
Carnation,2260,1.75,2,2,98014,649000
Seattle,2020,2,5,1.5,98178,287500
Seattle,2620,2.75,4,1,98117,815000
Sammamish,2830,2.5,2,2,98074,795000
Issaquah,1700,1.75,3,1,98027,502775
Seattle,1110,1,2,1,98178,222900
Federal Way,2150,3,4,1,98023,399950
Redmond,2650,2.5,4,2,98052,728000
Redmond,3870,3.5,5,2,98053,850000
Duvall,2530,2.75,4,2,98019,525000
Renton,1450,1,3,1.5,98055,257000
Seattle,2200,2.5,3,2,98118,433500
Auburn,1890,1.75,4,1,98001,314950
Redmond,1530,1.75,3,1,98052,500000
Kenmore,1590,1.5,3,1,98028,300000
Sammamish,2690,2.5,4,2,98074,645000
Kent,990,1,3,1,98042,222500
Renton,1300,1.75,3,1,98056,275000
Seattle,1720,1.5,3,1.5,98118,498000
Kirkland,2080,1.75,3,1,98033,800000
Federal Way,1840,2.5,3,2,98003,297000
Seattle,4010,3.5,5,2,98178,625000
Issaquah,3560,2.5,4,2,98029,770000
Seattle,1640,2.25,3,1.5,98115,517000
Seattle,530,1,1,1,98103,238000
Seattle,1990,1,3,1,98168,234550
Federal Way,1690,2.25,3,1,98003,230500
Seattle,2670,2.5,5,1.5,98125,585000
Seattle,1930,1.75,4,1.5,98105,733000
Seattle,810,1,2,1,98107,357950
Seattle,1550,1.75,3,1,98117,530000
Seattle,2640,2.5,4,2,98188,377500
Snoqualmie,2320,2.5,4,2,98065,475000
Auburn,2170,1.75,3,1,98092,399000
Seattle,2080,2,3,1,98116,660000
Bellevue,2070,2.25,5,1,98008,400000
Seattle,800,1,2,1,98107,440000
Kent,2040,2.25,4,1,98042,366400
Bothell,2830,2.5,4,2,98011,627250
Seattle,1480,1.75,3,1,98117,375950
Federal Way,1810,2.25,3,1,98023,162000
Seattle,1970,2.75,3,2.5,98103,780000
Seattle,2650,2.5,4,1.5,98116,705000
Federal Way,2820,2.5,4,1,98003,450000
Renton,1400,2.75,3,1,98056,311000
Issaquah,1580,2.5,3,2,98029,485000
Woodinville,1800,2.5,3,2,98072,485000
Seattle,3360,3.75,5,2,98118,725000
Auburn,1510,1,3,1,98001,185000
Bellevue,4285,4.25,4,2,98004,1890000
Kent,1610,2.25,3,2,98042,260000
Maple Valley,2470,2.5,4,2,98038,356000
Kent,1200,1,3,1,98030,225205
Seattle,1260,1,3,1,98117,445000
Seattle,920,1,2,1,98118,356000
Mercer Island,2540,2.75,5,1,98040,760250
Redmond,1870,2,2,1,98053,572000
Seattle,3060,2.25,3,1.5,98144,970000
Maple Valley,1950,2.5,4,2,98038,348450
Woodinville,1730,1.5,3,2,98072,535500
Seattle,2570,2.5,5,1,98125,710000
Bellevue,1490,1.75,3,1,98004,745000
Seattle,2040,2.5,4,2,98146,355000
Kent,2690,2.5,4,2,98042,333000
Maple Valley,1610,2.5,3,2,98038,282000
Seattle,2520,2,3,1.5,98119,840500
Bellevue,1550,1.75,3,1,98008,432000
Seattle,1800,1,3,1,98126,625000
Seattle,1170,1,3,1,98168,209977
Auburn,900,1,2,1,98001,174000
Redmond,2800,2,4,1,98052,740000
Seattle,1830,1.75,3,1.5,98115,518000
Seattle,1380,1.75,3,1,98103,539000
Issaquah,1990,2.75,3,1,98027,575000
Seattle,1170,1.75,2,2,98102,530000
Kent,1400,1.75,4,1.5,98031,242025
Bellevue,2620,2.5,4,1,98004,1030000
Seattle,880,1,3,1,98198,230000
Renton,2260,2.5,4,1,98055,350000
Kirkland,1300,1,3,1,98033,595000
Redmond,1450,1.75,3,1,98052,440000
Seattle,1110,1,3,1,98109,550000
Seattle,1890,2.25,4,1,98112,940000
Seattle,1100,1.5,3,2,98144,375000
Seattle,1350,1.5,2,1,98199,567500
Issaquah,3020,2.5,3,1,98029,735000
Seattle,730,1,2,1,98146,114000
Seattle,1390,1,2,1,98119,608000
Redmond,2710,1.5,3,1.5,98053,442500
Seattle,1530,2,4,1,98133,381800
Seattle,2170,2,3,1,98116,330000
Kirkland,790,1,2,1,98034,90000
Seattle,1160,1.75,2,1,98106,312000
Seattle,1080,1,3,1,98155,339000
Federal Way,2190,1.75,3,1,98023,313000
Issaquah,2030,2.5,3,2,98027,618080
Renton,2480,2.25,3,2,98058,325000
Seattle,2240,1,4,1,98146,242000
Seattle,1650,1.5,2,1,98133,364000
Seattle,1700,1.75,3,1.5,98126,545000
Federal Way,2790,2.5,3,2,98023,445000
Kirkland,3010,2.75,4,2,98034,1090000
Bellevue,2550,2.5,4,1,98007,660000
Redmond,2880,2.5,4,1,98052,845000
Seattle,2090,2,4,1,98144,417000
Renton,740,1,2,1,98056,213800
Seattle,960,1.75,2,1,98136,400000
Seattle,2100,3.5,4,2,98133,759950
Seattle,2540,2.5,4,2,98199,990000
Bellevue,1650,1.75,3,1,98005,710000
Seattle,770,0.75,1,1,98126,315000
Renton,2280,2.5,4,1,98056,515000
Seattle,1660,2,3,1,98116,638000
Seattle,2020,2,4,1.5,98125,370000
Auburn,970,1,3,1,98001,184000
Redmond,2480,2.5,3,2,98053,583800
Renton,1250,1,3,1,98059,309500
Bellevue,4430,4,4,2,98005,1960000
Seattle,740,1,1,1,98118,299000
Seattle,710,1,2,1,98178,215000
Seattle,1970,2,4,1,98166,410000
Seattle,820,1,2,1,98199,478000
Seattle,1000,1,2,1,98136,431000
Redmond,3080,2.5,4,2,98053,635000
Bellevue,2410,2.25,5,2,98006,648000
Renton,2370,2.5,3,2,98056,640000
Bellevue,4690,4.5,5,2,98006,932808
Redmond,2280,2,2,1,98053,835000
Seattle,1530,1.75,2,1,98199,469775
Carnation,3610,3.5,5,2,98014,587000
Seattle,1740,2,3,1,98119,677915
Bellevue,3600,3,4,1,98008,1080000
Seattle,3130,3,4,1.5,98115,671000
Snoqualmie,3940,3.25,5,2,98065,695000
Seattle,2200,2,4,1,98168,205000
Seattle,1510,1,4,1.5,98155,350000
Renton,1560,1.75,3,2,98059,360000
Maple Valley,1870,2.25,4,2,98038,313999
Kent,2070,2.25,3,1,98042,300000
Seattle,1660,1.75,2,1,98155,452000
Carnation,2010,2.5,3,1,98014,495500
Auburn,1410,1,3,1,98092,288000
Federal Way,1820,1.75,3,1,98003,227490
Carnation,2560,2.5,3,2,98014,470950
Issaquah,2450,2.75,4,2,98027,735000
Seattle,3110,2.75,7,1.5,98105,730000
Renton,2210,2.5,3,2,98058,412000
Snoqualmie,2630,2.5,4,2,98065,589500
Seattle,2350,1,7,1,98118,291000
Seattle,4450,3.75,5,2,98199,1300000
Federal Way,1200,1,3,1,98023,190000
Seattle,1210,1.75,2,1,98125,456200
Federal Way,1290,1,3,1,98023,225000
Sammamish,3490,2.5,3,1,98074,2000000
Redmond,3360,2.5,4,2,98052,740000
Seattle,2660,1.75,3,1,98108,467000
Seattle,770,1,2,1,98177,385000
Seattle,1800,2.5,3,2,98119,670000
Seattle,2900,2.5,4,1,98118,500000
Seattle,1430,2,3,1,98155,352450
Renton,2550,2.75,4,2,98059,669888
Bellevue,1310,2.75,3,1,98008,405000
Bellevue,1430,1.5,3,1,98007,518000
Seattle,1880,1,4,1,98178,280000
Issaquah,1600,2.5,3,2,98029,435000
Enumclaw,1760,2,3,1,98022,314950
Maple Valley,1180,2,2,2,98038,209900
Redmond,2330,2.5,4,2,98052,630000
Redmond,1960,1.5,4,1.5,98052,442000
Seattle,1140,1,4,1,98166,340000
Kent,1400,1.75,3,1,98031,230000
Bothell,2710,2.25,5,1,98011,495200
Sammamish,3510,2.5,4,2,98075,900000
Seattle,910,1,2,1,98117,265000
Woodinville,2090,1.75,3,1,98072,489500
Federal Way,1410,2,3,1,98023,335000
Bothell,3050,3.25,3,2,98011,585000
Seattle,2010,2.25,4,1,98118,800000
Enumclaw,2120,2.25,4,2,98022,379500
Bellevue,1270,1,3,1,98008,475000
Bellevue,1670,2,3,1,98008,520000
Sammamish,1800,2.5,4,2,98075,515000
Seattle,1640,1,2,1,98103,577500
Kent,1740,2.25,3,1,98031,269900
Seattle,1600,1,3,1,98106,329000
Seattle,1280,1.5,3,1.5,98122,458500
Sammamish,1480,2,4,1.5,98075,890000
Maple Valley,1980,2.5,4,2,98038,361500
Bellevue,3730,3.25,5,1,98004,2540000
Kirkland,900,1,2,1,98034,325000
Seattle,3480,3.25,4,3,98109,1850000
Bellevue,2840,2,4,1,98004,945000
Kent,2490,2.5,3,2,98042,370000
Snoqualmie,1490,2.5,0,2,98065,320000
Redmond,1510,2,2,1,98053,450000
Sammamish,2900,2.5,4,2,98075,800000
Seattle,2240,2.5,3,2,98117,676000
Seattle,2040,1.75,4,2,98102,1270000
Kenmore,1460,1.75,3,1,98028,290000
Federal Way,990,1.5,3,1,98003,158000
Seattle,1970,1.75,4,1,98133,379950
Redmond,2660,2.5,4,2,98053,583000
Renton,870,1,2,1,98056,150000
Kent,1740,2.5,3,2,98042,261500
Seattle,2290,2.5,4,2,98198,278000
Redmond,2170,2.75,4,1,98052,555000
Seattle,2040,1.75,3,1,98133,355000
Bellevue,1770,1.5,4,1,98008,375000
Seattle,2380,1.75,3,1,98118,227000
Enumclaw,2030,2,4,1,98022,335000
Seattle,2270,2.25,3,1,98177,680000
Seattle,1390,1.75,2,1.5,98105,686500
Woodinville,1530,1.75,3,1,98072,410000
Kirkland,1430,1,2,1.5,98033,425000
Sammamish,2030,2.5,3,1,98074,562500
Renton,2390,2.5,4,2,98056,345000
Bellevue,2540,2.5,4,1,98006,627500
Fall City,1890,1,3,1,98024,355000
Maple Valley,1870,2.25,3,2,98038,335000
Seattle,1780,3,4,1,98118,350000
Redmond,1610,1,3,1,98053,590000
Federal Way,1420,2,3,2,98023,252000
Mercer Island,4440,4,5,1,98040,1300000
Seattle,1820,2,4,2,98119,705000
Redmond,1620,2,3,1,98052,498000
Seattle,870,1,2,1,98133,312500
Seattle,1830,1.75,4,1,98198,260000
Kent,2290,1.5,3,1,98042,209950
Bellevue,1110,1.75,3,1,98006,610000
Seattle,1440,1,4,1.5,98107,500000
Seattle,3070,3.5,3,1,98125,850000
Bellevue,2440,2.5,4,1,98006,689000
Bellevue,2410,2,4,2,98008,470000
Renton,2270,3,3,2,98056,640000
Seattle,2340,1.75,4,1,98146,290000
Federal Way,1800,2.5,3,2,98003,258500
Bellevue,2210,3.5,4,1,98004,1100000
Redmond,1820,1.75,3,1,98053,420000
Seattle,1190,1,3,1,98198,230000
Maple Valley,1400,1.5,3,1,98038,252000
Kenmore,2600,2.5,3,2,98028,515000
Seattle,910,1,2,1,98107,425000
Seattle,1760,2.5,3,2,98126,575000
Seattle,860,1,2,1,98117,390000
Kirkland,2310,2.25,4,1,98033,561500
Seattle,2000,1.75,4,1.5,98112,1350000
Seattle,2460,2.75,5,1,98115,835000
Seattle,1020,1,2,1.5,98168,245000
Issaquah,1670,2.5,3,2,98027,475200
Seattle,790,1,2,1,98117,425000
Seattle,2010,1.5,2,2,98178,218000
Renton,2600,2.5,4,2,98056,600000
Bellevue,1890,2.25,4,1,98008,545000
Bellevue,4600,2.5,5,1.5,98004,2410000
Seattle,2008,3,5,1,98118,460000
Seattle,880,1,2,1,98116,425000
Bellevue,1700,1.75,3,1,98006,455000
Auburn,1730,2,3,1,98001,313100
Issaquah,3910,3.5,4,2,98027,780000
Kent,2160,2.5,4,2,98031,345500
Kent,1200,1.75,3,1,98031,243000
Kirkland,3860,3.5,5,1,98034,670000
Duvall,1320,1.5,3,1,98019,325000
Seattle,1280,1,2,1,98178,281000
Seattle,1100,1,3,1,98108,130000
Maple Valley,2170,2.5,3,2,98038,340000
Renton,2720,2.75,4,2,98059,485000
Woodinville,2520,2.75,4,2,98072,642860
Seattle,2560,1.75,3,1,98112,747000
Seattle,2650,2.5,4,2,98133,559950
Seattle,2870,2.75,4,2,98108,577288
Seattle,1230,1,2,1.5,98117,575000
Seattle,1450,1,3,1,98118,287000
Kirkland,3180,3.75,4,2,98033,1150000
Seattle,1800,1,2,1,98168,335000
Renton,2020,2.25,4,2,98056,375000
Seattle,620,1,2,1,98125,325000
Renton,2190,2.25,3,1,98059,530000
Kent,1980,2.25,4,1,98032,287000
Federal Way,2970,3,5,1,98023,320000
Snoqualmie,2270,2.5,4,2,98065,425000
Seattle,1630,1,3,1,98117,550000
Federal Way,1520,1,3,1,98023,135000
Seattle,2080,1.75,3,1.5,98144,695000
Bellevue,3020,2.5,5,1,98006,975000
Seattle,2180,1.75,4,1,98198,210000
Seattle,1780,1.75,4,1,98125,518000
Seattle,1370,1,3,2,98125,335500
Seattle,3050,3.5,4,2,98126,750000
Bellevue,1490,1.75,3,1,98006,515000
Renton,1800,2.75,4,1,98055,344500
Seattle,1760,1.5,3,1,98118,470000
Bellevue,1770,1.75,4,1,98008,606150
Auburn,2910,2.75,4,1,98002,292000
Auburn,2880,2.5,3,2,98092,450000
Seattle,2520,1.75,3,1,98126,429000
Redmond,3190,2.5,4,2,98053,765000
Seattle,540,1,2,1,98107,425000
Renton,3170,2.5,4,2,98059,505000
Bellevue,1830,1.75,3,1,98008,544950
Seattle,1360,2,3,1.5,98126,382000
Carnation,1870,1.75,3,2,98014,475000
Kirkland,1370,1.5,3,2,98034,355000
Kirkland,1700,2.5,4,1,98034,410000
Seattle,1960,2,4,1,98144,450000
Seattle,4140,4.5,7,1,98125,565000
Seattle,1290,1,2,1.5,98115,529100
Snoqualmie,2460,2.5,4,2,98065,452500
Federal Way,1580,2,4,1,98003,245000
Seattle,700,1,1,1,98117,415000
Sammamish,2410,2.5,4,2,98074,610000
Seattle,2180,1.75,4,1,98178,363500
Redmond,1950,2.75,3,1,98052,510000
Redmond,2630,2.5,4,2,98053,650000
Renton,2050,2.5,4,2,98058,290000
Seattle,790,1,3,1,98178,170000
Seattle,1070,1,2,1,98122,510000
Redmond,13540,8,7,3,98053,2280000
Federal Way,2320,2.5,4,2,98003,316000
Issaquah,2670,2.5,4,2,98029,690000
Renton,700,1,2,1,98056,199950
Seattle,860,1,3,1,98178,207000
Renton,3490,2.25,4,1.5,98058,449950
Renton,1160,1.75,3,1,98059,361550
Woodinville,3650,3.5,4,2,98077,824000
Bellevue,1550,1.75,3,1,98008,537000
Mercer Island,2620,2.5,4,2.5,98040,838400
Seattle,720,1,2,1,98126,225000
Seattle,1380,2,3,1,98106,329900
Snoqualmie,1170,1,4,1,98065,282500
Kent,1170,1.75,3,1,98042,229950
Seattle,1630,1,2,1,98125,500000
Seattle,1890,1.75,3,1,98125,495000
Seattle,1010,1,3,1,98198,149500
Bellevue,2040,2.5,3,1,98005,726000
Sammamish,4080,2.5,4,2,98075,899000
Renton,1270,1,3,1,98056,317000
Seattle,790,1,1,1,98199,395000
Renton,2580,3,4,2,98058,360000
Issaquah,2290,2.5,4,2,98029,570000
Kent,3490,2.5,4,2,98042,320000
Renton,1510,1.75,3,1.5,98058,320000
Kent,2400,2.5,5,2,98042,268000
Seattle,900,1,2,1,98108,191000
Seattle,1270,1,2,1,98126,400000
Seattle,1050,1,2,1,98107,515000
Snoqualmie,2950,2.5,4,2,98065,610000
Seattle,1850,1.75,2,1,98115,538000
Snoqualmie,1970,2.5,3,2,98065,432000
Renton,2400,2.25,4,2,98055,335000
Seattle,2360,1.75,5,1.5,98133,302000
Medina,1580,1.75,4,1,98039,787500
Seattle,1790,1,3,1,98133,420000
Carnation,2840,2.5,3,2,98014,560000
Issaquah,1970,2.5,3,2,98029,535000
Seattle,1780,2.5,3,1,98106,310000
Seattle,3920,2,5,1.5,98144,760000
Renton,1550,1.75,3,2,98055,242500
Seattle,2980,3,6,1.5,98119,1310000
Renton,1270,1,3,1,98055,235000
Bellevue,3040,2.25,4,1,98007,598780
North Bend,2075,2.5,3,2,98045,433200
Renton,1110,1,2,1,98056,343000
Kirkland,800,1,2,1,98033,145000
Renton,680,1,1,1,98058,291970
Seattle,1680,1,3,1,98146,599950
Bellevue,3910,2.5,4,1.5,98004,1750000
Bellevue,2780,1.75,4,1,98004,870000
Maple Valley,2000,2.75,4,2,98038,323000
Sammamish,3150,3,4,2,98075,727000
Auburn,1120,1,1,1,98001,166000
Seattle,1740,1.75,4,1,98155,450000
Woodinville,2970,2.5,3,1,98072,400000
Woodinville,2970,2.5,3,1,98072,599000
Auburn,1150,1,3,1,98001,165000
Seattle,1190,1,2,1,98168,229000
Seattle,900,1,1,1,98155,305000
Seattle,2950,3.25,3,2,98116,930000
Bellevue,1990,2.5,3,1,98007,542000
Black Diamond,1020,1,3,1,98010,214000
Kirkland,2070,2.5,3,2,98033,718000
Seattle,1430,2.5,3,3,98103,349000
Kent,2030,2.5,3,2,98031,305000
Seattle,1620,2.5,3,2,98122,498000
Auburn,4220,3.5,4,2,98092,799950
Redmond,2300,2.5,3,2,98052,737000
Sammamish,3830,3.25,4,2,98075,860000
Kent,2390,2.5,3,1,98042,339950
Kent,1440,2.25,3,1,98031,249000
Seattle,910,1,2,1,98126,370000
Mercer Island,1550,2,3,1,98040,725000
Renton,2380,2.5,5,1,98059,529000
Seattle,2060,2.75,4,1,98198,310000
Renton,1880,2.25,4,2,98058,315000
Seattle,3470,2.5,4,2,98119,1300000
Renton,2360,2,3,2,98059,435000
Renton,1970,1.75,3,1,98056,350000
Renton,1040,1,3,1,98055,240000
Seattle,1420,2.25,3,2,98116,410000
Renton,2290,2.75,4,2,98059,430000
Kirkland,1530,2.5,4,1,98034,446000
North Bend,1360,1.5,3,1.5,98045,240000
Issaquah,3680,3,4,1.5,98027,595000
Kent,920,1,3,1,98042,215150
Seattle,1070,1,2,1,98178,319950
Vashon,1590,2,3,2,98070,385000
Kent,1600,2.5,3,2,98042,280000
Kirkland,1510,2.5,3,1,98034,399950
Auburn,1080,1,3,1,98001,132500
Seattle,1330,0.75,2,1,98126,399950
Seattle,850,1,2,1,98133,290000
Bellevue,1960,2.25,5,1,98004,860000
Mercer Island,6980,4.25,6,3,98040,3100000
Seattle,1530,1,4,1.5,98178,245000
Seattle,1320,1.5,3,1,98178,255000
Seattle,2320,3,4,2,98155,310000
Seattle,960,1,3,1,98155,299000
Issaquah,2040,2.5,4,2,98029,575000
Seattle,1080,1,3,1,98133,284000
Seattle,2020,1.75,3,1,98115,840000
Kirkland,1780,1.75,3,1,98034,442573
Seattle,1140,1,3,1,98115,560000
Seattle,1610,2,3,1,98136,485000
Kirkland,1440,1.75,4,1,98033,472500
Bellevue,4270,2.75,4,2,98004,1610000
Seattle,3460,3.75,8,2,98105,808000
Bothell,1890,1.75,3,1.5,98011,398000
Renton,2240,2.5,3,2,98059,340000
Seattle,760,1,2,1.5,98108,380000
Seattle,1020,1,3,1,98168,235000
Kirkland,1330,1.5,3,1,98034,400000
Bellevue,2780,2.5,5,1,98006,582000
Seattle,1070,1,2,1,98168,209000
Renton,2660,3,5,1.5,98058,335000
Seattle,710,1,2,1,98146,285950
Issaquah,3340,2.25,5,2,98027,645000
Carnation,1160,1,2,1.5,98014,312000
Sammamish,2840,2.25,3,1,98075,663000
Renton,2000,1.75,3,1,98056,443950
Seattle,1060,2,3,1,98126,315000
Renton,1730,1.5,4,1,98058,302200
Kirkland,2190,2.5,3,2,98033,770000
Renton,1660,1.75,4,1,98058,374950
Federal Way,2210,2.5,3,2,98023,330000
Seattle,870,1,2,1,98106,230000
Seattle,3100,2.5,4,2,98115,967000
Seattle,1720,2.5,4,2,98144,536500
Seattle,3120,4,6,2,98106,315000
Seattle,1040,1,3,1,98117,626000
Kirkland,1650,2,4,1,98034,334009
Seattle,1010,1,2,1,98107,429000
Woodinville,4020,2.5,4,2,98072,818000
Kent,2166,2.75,5,2,98042,326000
Seattle,1880,3,5,1,98106,310000
Seattle,2260,2,4,1,98177,525000
Renton,2010,2.25,3,1.5,98055,350000
Sammamish,3330,2.5,4,2,98074,936000
Seattle,1520,1,3,1,98166,226000
Seattle,3510,3.5,5,2,98105,1250000
Enumclaw,1580,1.75,3,1,98022,428000
Seattle,1460,1.5,3,1,98133,329932
Seattle,1460,1.5,3,1,98133,539000
Federal Way,1650,1.75,3,1,98023,275000
North Bend,2660,2.5,4,2,98045,590000
Redmond,3510,2.5,4,2,98053,782000
Issaquah,2120,2.5,4,2,98027,575000
Seattle,1780,2.25,3,2,98133,509000
Auburn,2000,2.5,4,1,98001,290000
Seattle,1300,1,3,1,98133,305240
Seattle,2180,2,3,1.5,98126,555000
Renton,1790,2,3,1,98058,317000
Sammamish,1910,2,3,1.5,98074,430000
Seattle,1800,1.5,2,1,98116,850000
Seattle,2620,2.25,3,1,98155,469000
Seattle,1440,2,2,1,98168,327200
Seattle,2790,3,3,2,98198,835000
Kent,2340,2.5,4,2,98042,360000
Seattle,2070,2.5,4,2,98178,372000
Kirkland,2160,1,3,1.5,98034,453000
Seattle,2090,1.75,2,1,98188,275000
Seattle,2040,2.5,4,2,98133,475000
Kent,1950,2.75,4,1,98031,310000
Seattle,1200,2,4,1,98188,173000
North Bend,2240,3,5,1,98045,313500
Seattle,1360,2.5,3,2,98126,345000
Seattle,1500,1.5,3,1,98177,436000
Seattle,1300,1.75,2,1,98168,244500
Auburn,1140,1.75,3,1,98001,206000
Redmond,2930,2.5,4,2,98052,890000
Auburn,2140,2.25,4,2,98092,329950
Auburn,1628,1.75,3,1,98092,250000
Enumclaw,1990,2,3,1,98022,246000
Woodinville,1950,1.75,3,1,98072,440000
Woodinville,1910,1.75,4,1,98072,395000
Seattle,820,1,3,1,98118,305000
Federal Way,1470,2.25,3,1,98003,160000
Federal Way,1470,2.25,3,1,98003,269000
Federal Way,1060,1,3,1,98023,169500
Seattle,3130,2.75,4,2,98155,690500
Seattle,1260,1.5,2,1,98177,245560
Federal Way,2200,2.75,4,2,98023,345000
Renton,2580,1.75,4,1,98056,383000
Seattle,1350,2.25,3,2,98144,388500
Federal Way,1350,1.75,3,1,98003,250000
Kent,2290,1.75,3,1,98042,455500
Bellevue,1220,1,3,1,98004,672000
Renton,2750,1.5,4,1,98055,550000
Bellevue,1430,1.75,3,1,98008,487000
Renton,2220,2.5,4,2,98059,291375
Seattle,1490,1,3,1,98133,225000
Sammamish,2440,3.5,5,2,98075,519950
Auburn,2070,2.5,3,2,98002,250000
Seattle,1500,1,3,1.5,98119,614950
Redmond,2020,2.25,4,2,98052,599500
Seattle,2190,1.5,4,1,98177,625000
Seattle,780,1,2,1,98168,248500
Seattle,1220,2,5,1,98105,469950
Kirkland,1840,1.5,3,1,98033,525000
Seattle,2390,2.5,2,2,98146,787500
Auburn,3710,2.5,4,1,98001,485000
Seattle,750,1,2,1,98118,310000
Seattle,2110,2,5,1,98118,280000
Woodinville,1020,1,4,1.5,98072,200000
Renton,3080,2.5,3,2,98055,490000
Federal Way,900,1,3,1,98023,146000
Auburn,3720,3,5,2,98001,500000
Renton,940,1,3,1,98058,242500
Seattle,1040,1,3,1,98125,324950
Renton,1000,1,2,1,98056,231500
Federal Way,2080,2.5,3,2,98023,300000
North Bend,2500,2.5,4,2,98045,545000
Seattle,1050,1,3,1,98133,350000
Redmond,1620,1.75,3,1,98052,467100
Kent,1610,1,3,1.5,98032,180000
Seattle,2130,1.5,4,2,98144,749000
Federal Way,1460,2.5,3,2,98023,245000
Kent,1600,1,5,1,98031,260000
Seattle,1730,3,3,3,98117,490000
Sammamish,2280,2.5,4,2,98075,565000
Renton,2430,2.25,4,2,98058,330000
Renton,1380,1,3,1,98056,295000
Seattle,1790,1.5,3,1.5,98115,725000
Bellevue,3370,2.5,4,2,98007,1140000
Seattle,2920,2.25,3,1,98177,680000
Seattle,2180,1,2,1,98177,490000
Seattle,1480,1.75,3,1.5,98117,635000
Enumclaw,2350,2.5,3,1.5,98022,750000
Federal Way,2440,2.25,4,2,98023,330000
Seattle,1350,2.5,3,2,98106,270000
Renton,1970,2.25,3,2,98056,340000
Seattle,1110,0.75,3,1,98117,413252
Kenmore,2950,2.75,4,2,98028,600000
Sammamish,2970,3,5,2,98075,726888
Seattle,720,1,2,1,98126,285000
Seattle,770,1,2,1,98117,365000
Seattle,1650,2,4,1,98133,295000
Kirkland,1620,2.25,3,1,98034,460000
Seattle,1510,1.5,3,1.5,98198,230000
Seattle,1070,1,3,1,98125,337000
Seattle,1010,1,3,1,98133,300000
Seattle,3370,2.5,4,1,98112,2300000
Maple Valley,2000,2.5,4,2,98038,360000
Issaquah,2060,2.5,3,2,98029,585000
Federal Way,1740,2.25,3,1,98023,182700
Federal Way,1740,2.25,3,1,98023,305000
Renton,1880,2.5,3,2,98055,309950
Kirkland,960,1,3,1,98033,550000
Sammamish,3280,2.5,3,1,98074,825000
Seattle,1570,1,2,1.5,98122,998500
Sammamish,2990,2.5,4,2,98074,644500
Renton,1250,2,3,1,98059,320000
Kent,1920,2.5,3,2,98042,266950
Redmond,2470,2.5,4,2,98053,633100
Seattle,960,1,2,1,98103,395000
Seattle,940,1,3,1,98103,259250
Carnation,1260,1,3,1,98014,300000
Auburn,2280,1.75,3,1,98092,413000
Seattle,1740,2.25,3,1,98177,435000
Woodinville,2630,2.75,4,1,98072,500000
Seattle,2430,1.75,4,1,98108,402000
Vashon,2260,2.5,3,1.5,98070,777700
Seattle,1220,1.5,2,1,98103,580000
Woodinville,2580,1.75,3,1,98072,570000
Seattle,730,1,2,1,98198,174950
Seattle,760,1,2,1,98144,300000
Seattle,1740,1.5,3,1,98133,435000
Sammamish,3420,2.5,4,2,98074,840000
Seattle,2240,2.5,5,1,98177,469000
Seattle,1920,1.75,4,2,98119,870000
Redmond,2020,1.75,4,1,98052,532000
Seattle,1880,1.5,4,1,98177,455000
Duvall,1010,1,3,1,98019,201000
Kent,3990,3.25,5,2,98042,649000
Seattle,1390,1.75,2,1,98115,445500
Redmond,1230,2,3,1,98052,475000
Woodinville,2940,2.5,4,2,98077,590000
Seattle,2190,1.5,4,2,98136,565000
Seattle,640,1,1,1,98126,110000
Seattle,1670,2.5,3,1,98126,375000
Renton,1240,1.5,3,1,98058,255000
Seattle,1850,1.75,5,1.5,98168,315000
Bellevue,2020,2.25,4,1,98006,496600
Seattle,1020,1,3,1,98118,380000
Kent,1610,1.75,3,1,98042,338950
Issaquah,2730,3.5,5,1,98027,542500
Seattle,2840,2.5,5,1,98144,739000
Seattle,1290,1.75,4,2,98103,549000
Kent,1670,2.25,3,1,98031,252000
Bellevue,3860,4.5,4,2,98006,1700000
Seattle,2460,1.75,4,1.5,98115,735000
Seattle,1660,2.5,4,1,98198,270000
Seattle,3420,2.5,3,1,98112,2250000
Carnation,1010,1,2,1.5,98014,155000
Seattle,2240,2.5,4,1,98108,469000
Seattle,2340,2.25,4,2,98118,305000
Seattle,1920,1.75,3,1,98107,675000
